"samples","biome","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","full_metadata_link","investigation_type","sequence_type","collection_date","continent","country","latitude","longitude","PI_organization","PI_organization_address","PI_organization_country","PI_firstname","PI_lastname","PI_email","env_package_full","X","project_id"
"mgm4524574","anthropogenic terrestrial biome","human-associated habitat","biological product","human-gut",NA,"HuFA","Healthy human gut study","https://api.mg-rast.org/metagenome/mgm4524574.3/metadata?verbosity=full","metagenome","WGS","2005-09-24",NA,"Japan",35.490139,139.683694,"RIKEN","RIKEN IMS-RCAI, 1-7-22, Suehiro-cho, Tsurumi-ku, Japan 230 0045","Japan","Todd","Taylor","taylor@riken.jp","{'id': 'mge114116', 'type': 'human-gut', 'name': 'In-A: human-gut', 'data': {'sample_name': 'In-A', 'env_package': 'human-gut'}}",NA,"mgp4778"
"mgm4525093","anthropogenic terrestrial biome","human-associated habitat","biological product","human-gut",NA,"HuFM","Healthy human gut study","https://api.mg-rast.org/metagenome/mgm4525093.3/metadata?verbosity=full","metagenome","WGS","2005-09-24",NA,"Japan",35.490139,139.683694,"RIKEN","RIKEN IMS-RCAI, 1-7-22, Suehiro-cho, Tsurumi-ku, Japan 230 0045","Japan","Todd","Taylor","taylor@riken.jp","{'data': {'sample_name': 'In-M', 'env_package': 'human-gut'}, 'type': 'human-gut', 'id': 'mge115319', 'name': 'In-M: human-gut'}",NA,"mgp4778"
"mgm4525311","anthropogenic terrestrial biome","human-associated habitat","biological product","human-gut",NA,"HuFS","Healthy human gut study","https://api.mg-rast.org/metagenome/mgm4525311.3/metadata?verbosity=full","metagenome","WGS","2005-10-28",NA,"Japan",35.490139,139.683694,"RIKEN","RIKEN IMS-RCAI, 1-7-22, Suehiro-cho, Tsurumi-ku, Japan 230 0045","Japan","Todd","Taylor","taylor@riken.jp","{'id': 'mge115904', 'type': 'human-gut', 'data': {'disease_stat': 'Normal', 'sex': 'Male', 'sample_name': 'F1-S', 'env_package': 'human-gut', 'age': '30 years', 'profile_rating_demo 2': 'bronze'}, 'name': 'F1-S: human-gut'}",NA,"mgp4778"
"mgm4525312","anthropogenic terrestrial biome","human-associated habitat","biological product","human-gut",NA,"HuFT","Healthy human gut study","https://api.mg-rast.org/metagenome/mgm4525312.3/metadata?verbosity=full","metagenome","WGS","2005-10-28",NA,"Japan",35.490139,139.683694,"RIKEN","RIKEN IMS-RCAI, 1-7-22, Suehiro-cho, Tsurumi-ku, Japan 230 0045","Japan","Todd","Taylor","taylor@riken.jp","{'type': 'human-gut', 'name': 'F1-T: human-gut', 'id': 'mge115907', 'data': {'disease_stat': 'Normal', 'env_package': 'human-gut', 'sample_name': 'F1-T', 'age': '28 years', 'profile_rating_demo 2': 'bronze', 'sex': 'Female'}}",NA,"mgp4778"
"mgm4525314","anthropogenic terrestrial biome","human-associated habitat","biological product","human-gut",NA,"HuFU","Healthy human gut study","https://api.mg-rast.org/metagenome/mgm4525314.3/metadata?verbosity=full","metagenome","WGS","2005-11-15",NA,"Japan",35.490139,139.683694,"RIKEN","RIKEN IMS-RCAI, 1-7-22, Suehiro-cho, Tsurumi-ku, Japan 230 0045","Japan","Todd","Taylor","taylor@riken.jp","{'type': 'human-gut', 'name': 'F1-U: human-gut', 'id': 'mge115910', 'data': {'env_package': 'human-gut', 'age': '7 months', 'sex': 'Female', 'disease_stat': 'Normal', 'sample_name': 'F1-U', 'profile_rating_demo 2': 'bronze'}}",NA,"mgp4778"
"mgm4525315","anthropogenic terrestrial biome","human-associated habitat","biological product","human-gut",NA,"HuFV","Healthy human gut study","https://api.mg-rast.org/metagenome/mgm4525315.3/metadata?verbosity=full","metagenome","WGS","2005-10-31",NA,"Japan",35.490139,139.683694,"RIKEN","RIKEN IMS-RCAI, 1-7-22, Suehiro-cho, Tsurumi-ku, Japan 230 0045","Japan","Todd","Taylor","taylor@riken.jp","{'id': 'mge115913', 'name': 'F1-V: human-gut', 'type': 'human-gut', 'data': {'env_package': 'human-gut', 'age': '37 years', 'profile_rating_demo 2': 'bronze', 'sex': 'Male', 'sample_name': 'F1-V', 'disease_stat': 'Normal'}}",NA,"mgp4778"
"mgm4525317","anthropogenic terrestrial biome","human-associated habitat","biological product","human-gut",NA,"HuFW","Healthy human gut study","https://api.mg-rast.org/metagenome/mgm4525317.3/metadata?verbosity=full","metagenome","WGS","2005-09-22",NA,"Japan",35.490139,139.683694,"RIKEN","RIKEN IMS-RCAI, 1-7-22, Suehiro-cho, Tsurumi-ku, Japan 230 0045","Japan","Todd","Taylor","taylor@riken.jp","{'id': 'mge115916', 'data': {'env_package': 'human-gut', 'sex': 'Male', 'sample_name': 'F2-W', 'age': '37 years', 'profile_rating_demo 2': 'bronze', 'disease_stat': 'Normal'}, 'name': 'F2-W: human-gut', 'type': 'human-gut'}",NA,"mgp4778"
"mgm4525322","anthropogenic terrestrial biome","human-associated habitat","biological product","human-gut",NA,"HuFW","Healthy human gut study","https://api.mg-rast.org/metagenome/mgm4525322.3/metadata?verbosity=full","metagenome","WGS","2005-09-22",NA,"Japan",35.490139,139.683694,"RIKEN","RIKEN IMS-RCAI, 1-7-22, Suehiro-cho, Tsurumi-ku, Japan 230 0045","Japan","Todd","Taylor","taylor@riken.jp","{'type': 'human-gut', 'name': 'F2-W: human-gut', 'id': 'mge115922', 'data': {'disease_stat': 'Normal', 'age': '36 years', 'sample_name': 'F2-W', 'env_package': 'human-gut', 'sex': 'Female', 'profile_rating_demo 2': 'bronze'}}",NA,"mgp4778"
"mgm4525323","anthropogenic terrestrial biome","human-associated habitat","biological product","human-gut",NA,"HuFX","Healthy human gut study","https://api.mg-rast.org/metagenome/mgm4525323.3/metadata?verbosity=full","metagenome","WGS","2005-12-17",NA,"Japan",35.490139,139.683694,"RIKEN","RIKEN IMS-RCAI, 1-7-22, Suehiro-cho, Tsurumi-ku, Japan 230 0045","Japan","Todd","Taylor","taylor@riken.jp","{'name': 'F2-X: human-gut', 'id': 'mge115925', 'data': {'sample_name': 'F2-X', 'disease_stat': 'Normal', 'sex': 'Male', 'env_package': 'human-gut', 'profile_rating_demo 2': 'bronze', 'age': '3 years'}, 'type': 'human-gut'}",NA,"mgp4778"
"mgm4525324","anthropogenic terrestrial biome","human-associated habitat","biological product","human-gut",NA,"HuFY","Healthy human gut study","https://api.mg-rast.org/metagenome/mgm4525324.3/metadata?verbosity=full","metagenome","WGS","2005-09-22",NA,"Japan",35.490139,139.683694,"RIKEN","RIKEN IMS-RCAI, 1-7-22, Suehiro-cho, Tsurumi-ku, Japan 230 0045","Japan","Todd","Taylor","taylor@riken.jp","{'id': 'mge115928', 'name': 'F2-Y: human-gut', 'type': 'human-gut', 'data': {'sex': 'Female', 'env_package': 'human-gut', 'disease_stat': 'Normal', 'profile_rating_demo 2': 'bronze', 'age': '1.5 years', 'sample_name': 'F2-Y'}}",NA,"mgp4778"
