"samples","biome","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","full_metadata_link","investigation_type","sequence_type","collection_date","continent","country","latitude","longitude","PI_organization","PI_organization_address","PI_organization_country","PI_firstname","PI_lastname","PI_email","env_package_full","X","project_id"
"mgm4502539","Prairie Division (250)","field","arable soil","plant-associated",NA,"No11-pair.fastq","ISA-SMC-2011","https://api.mg-rast.org/metagenome/mgm4502539.3/metadata?verbosity=full","metagenome","WGS","2010-11-01","north america","USA",39.59845,-89.7643667,"USDA-ARS","1101 W. Peabody Dr, Urbana, IL 61801","USA","Glen","Hartman","ghartman@illinois.edu","{'type': 'plant-associated', 'data': {'env_package': 'plant-associated', 'sample_name': 'No11-pair'}, 'id': 'mge79337', 'name': 'No11-pair: plant-associated'}",NA,"mgp2076"
"mgm4502540","Prairie Division (250)","field","arable soil","plant-associated",NA,"No11-sole.fastq","ISA-SMC-2011","https://api.mg-rast.org/metagenome/mgm4502540.3/metadata?verbosity=full","metagenome","WGS","2010-11-01","north america","USA",39.59845,-89.7643667,"USDA-ARS","1101 W. Peabody Dr, Urbana, IL 61801","USA","Glen","Hartman","ghartman@illinois.edu","{'id': 'mge79331', 'name': 'No11-sole: plant-associated', 'data': {'env_package': 'plant-associated', 'sample_name': 'No11-sole'}, 'type': 'plant-associated'}",NA,"mgp2076"
"mgm4502541","Prairie Division (250)","field","arable soil","plant-associated",NA,"No7-pair.fastq","ISA-SMC-2011","https://api.mg-rast.org/metagenome/mgm4502541.3/metadata?verbosity=full","metagenome","WGS","2010-11-01","north america","USA",39.5997833,-89.7643667,"USDA-ARS","1101 W. Peabody Dr, Urbana, IL 61801","USA","Glen","Hartman","ghartman@illinois.edu","{'data': {'env_package': 'plant-associated', 'sample_name': 'No7-pair'}, 'name': 'No7-pair: plant-associated', 'type': 'plant-associated', 'id': 'mge79334'}",NA,"mgp2076"
"mgm4502542","Prairie Division (250)","field","arable soil","plant-associated",NA,"No7-sole.fastq","ISA-SMC-2011","https://api.mg-rast.org/metagenome/mgm4502542.3/metadata?verbosity=full","metagenome","WGS","2010-11-01","north america","USA",39.5997833,-89.7643667,"USDA-ARS","1101 W. Peabody Dr, Urbana, IL 61801","USA","Glen","Hartman","ghartman@illinois.edu","{'data': {'sample_name': 'No7-sole', 'env_package': 'plant-associated'}, 'name': 'No7-sole: plant-associated', 'type': 'plant-associated', 'id': 'mge79328'}",NA,"mgp2076"
"mgm4502543","Prairie Division (250)","field","arable soil","plant-associated",NA,"No77-pair.fastq","ISA-SMC-2011","https://api.mg-rast.org/metagenome/mgm4502543.3/metadata?verbosity=full","metagenome","WGS","2010-11-01","north america","USA",39.5997833,-89.7643667,"USDA-ARS","1101 W. Peabody Dr, Urbana, IL 61801","USA","Glen","Hartman","ghartman@illinois.edu","{'type': 'plant-associated', 'id': 'mge79340', 'data': {'env_package': 'plant-associated', 'sample_name': 'No77-pair'}, 'name': 'No77-pair: plant-associated'}",NA,"mgp2076"
"mgm4502923","Prairie Division (250)","field","arable soil","plant-associated",NA,"No1-pair.fastq","ISA-SMC-2011b","https://api.mg-rast.org/metagenome/mgm4502923.3/metadata?verbosity=full","metagenome","WGS","2010-10-29","north america","USA",38.198,-89.6276,"USDA-ARS","1101 W. Peabody Dr, Urbana, IL 61801","USA","Glen","Hartman","ghartman@illinois.edu","{'id': 'mge79343', 'type': 'plant-associated', 'data': {'env_package': 'plant-associated', 'sample_name': 'No1-pair'}, 'name': 'No1-pair: plant-associated'}",NA,"mgp2205"
"mgm4502924","Prairie Division (250)","field","arable soil","plant-associated",NA,"No10-pair.fastq","ISA-SMC-2011b","https://api.mg-rast.org/metagenome/mgm4502924.3/metadata?verbosity=full","metagenome","WGS","2010-11-01","north america","USA",39.5853,-89.7607167,"USDA-ARS","1101 W. Peabody Dr, Urbana, IL 61801","USA","Glen","Hartman","ghartman@illinois.edu","{'data': {'sample_name': 'No10-pair', 'env_package': 'plant-associated'}, 'id': 'mge79367', 'name': 'No10-pair: plant-associated', 'type': 'plant-associated'}",NA,"mgp2205"
"mgm4502925","Prairie Division (250)","field","arable soil","plant-associated",NA,"No12-pair.fastq","ISA-SMC-2011b","https://api.mg-rast.org/metagenome/mgm4502925.3/metadata?verbosity=full","metagenome","WGS","2010-11-02","north america","USA",40.21975,-88.4673667,"USDA-ARS","1101 W. Peabody Dr, Urbana, IL 61801","USA","Glen","Hartman","ghartman@illinois.edu","{'id': 'mge79370', 'type': 'plant-associated', 'data': {'env_package': 'plant-associated', 'sample_name': 'No12-pair'}, 'name': 'No12-pair: plant-associated'}",NA,"mgp2205"
"mgm4502926","Prairie Division (250)","field","arable soil","plant-associated",NA,"No13-pair.fastq","ISA-SMC-2011b","https://api.mg-rast.org/metagenome/mgm4502926.3/metadata?verbosity=full","metagenome","WGS","2010-11-02","north america","USA",40.2212833,-88.4665333,"USDA-ARS","1101 W. Peabody Dr, Urbana, IL 61801","USA","Glen","Hartman","ghartman@illinois.edu","{'id': 'mge79373', 'data': {'sample_name': 'No13-pair', 'env_package': 'plant-associated'}, 'type': 'plant-associated', 'name': 'No13-pair: plant-associated'}",NA,"mgp2205"
"mgm4502927","Prairie Division (250)","field","arable soil","plant-associated",NA,"No14-pair.fastq","ISA-SMC-2011b","https://api.mg-rast.org/metagenome/mgm4502927.3/metadata?verbosity=full","metagenome","WGS","2010-11-02","north america","USA",40.0776667,-88.2178667,"USDA-ARS","1101 W. Peabody Dr, Urbana, IL 61801","USA","Glen","Hartman","ghartman@illinois.edu","{'id': 'mge79376', 'data': {'sample_name': 'No14-pair', 'env_package': 'plant-associated'}, 'type': 'plant-associated', 'name': 'No14-pair: plant-associated'}",NA,"mgp2205"
