samples,feature,material,env.package,metagenome_taxonomy,sample_name,project_name,investigation_type,sequence_type,continent,country,latitude,longitude,raw_biome,project_id,life_style,habitat,biosphere,ecosystem,PI_lastname,seq_meth
mgm4714016,saline marsh,silty sediment,sediment,NA,ELM-10-016_R1B,CWC Coastal Marshes,metagenome,WGS,north america,USA,29.45497,-89.758933,marine benthic biome,mgp19524,free-living,oil_affected_sediment,marine,sediment,engel,illumina
mgm4714017,saline marsh,silty sediment,sediment,NA,ECM-14M-PS05_R2B,CWC Coastal Marshes,metagenome,WGS,north america,USA,29.4508333333333,-89.75005,marine benthic biome,mgp19524,free-living,oil_affected_sediment,marine,sediment,engel,illumina
mgm4714019,saline marsh,silty sediment,sediment,NA,ECM-14M-PS05_R2A,CWC Coastal Marshes,metagenome,WGS,north america,USA,29.4508333333333,-89.75005,marine benthic biome,mgp19524,free-living,oil_affected_sediment,marine,sediment,engel,illumina
mgm4714022,saline marsh,silty sediment,sediment,NA,ECM-14M-PS05_R1A,CWC Coastal Marshes,metagenome,WGS,north america,USA,29.4508333333333,-89.75005,marine benthic biome,mgp19524,free-living,oil_affected_sediment,marine,sediment,engel,illumina
mgm4714024,saline marsh,silty sediment,sediment,NA,ELM-11-109_R1A,CWC Coastal Marshes,metagenome,WGS,north america,USA,29.4542,-89.7699333333333,marine benthic biome,mgp19524,free-living,oil_affected_sediment,marine,sediment,engel,illumina
mgm4714026,saline marsh,silty sediment,sediment,NA,ELM-11-109_R2B,CWC Coastal Marshes,metagenome,WGS,north america,USA,29.4542,-89.7699333333333,marine benthic biome,mgp19524,free-living,oil_affected_sediment,marine,sediment,engel,illumina
mgm4714027,saline marsh,silty sediment,sediment,NA,ELM-11-109_R1B,CWC Coastal Marshes,metagenome,WGS,north america,USA,29.4542,-89.7699333333333,marine benthic biome,mgp19524,free-living,oil_affected_sediment,marine,sediment,engel,illumina
mgm4714028,saline marsh,silty sediment,sediment,NA,ECM-14M-PS05_R1B,CWC Coastal Marshes,metagenome,WGS,north america,USA,29.4508333333333,-89.75005,marine benthic biome,mgp19524,free-living,oil_affected_sediment,marine,sediment,engel,illumina
mgm4714029,saline marsh,silty sediment,sediment,NA,ECM-15M-PS05_R1A,CWC Coastal Marshes,metagenome,WGS,north america,USA,29.4508333333333,-89.75005,marine benthic biome,mgp19524,free-living,oil_affected_sediment,marine,sediment,engel,illumina
mgm4714030,saline marsh,silty sediment,sediment,NA,ELM-10-016_R1A,CWC Coastal Marshes,metagenome,WGS,north america,USA,29.45497,-89.758933,marine benthic biome,mgp19524,free-living,oil_affected_sediment,marine,sediment,engel,illumina
mgm4714032,saline marsh,silty sediment,sediment,NA,ELM-10-016_R2B,CWC Coastal Marshes,metagenome,WGS,north america,USA,29.45497,-89.758933,marine benthic biome,mgp19524,free-living,oil_affected_sediment,marine,sediment,engel,illumina
mgm4714033,saline marsh,silty sediment,sediment,NA,ELM-10-016_R2A,CWC Coastal Marshes,metagenome,WGS,north america,USA,29.45497,-89.758933,marine benthic biome,mgp19524,free-living,oil_affected_sediment,marine,sediment,engel,illumina
mgm4714034,saline marsh,silty sediment,sediment,NA,ECM15MPS05_R2A,CWC Coastal Marshes,metagenome,WGS,north america,USA,29.4508333333333,-89.75005,marine benthic biome,mgp19524,free-living,oil_affected_sediment,marine,sediment,engel,illumina
mgm4714035,saline marsh,silty sediment,sediment,NA,ECM15MPS05_R1B,CWC Coastal Marshes,metagenome,WGS,north america,USA,29.4508333333333,-89.75005,marine benthic biome,mgp19524,free-living,oil_affected_sediment,marine,sediment,engel,illumina
mgm4714036,saline marsh,silty sediment,sediment,NA,ELM-11-109_R2A,CWC Coastal Marshes,metagenome,WGS,north america,USA,29.4542,-89.7699333333333,marine benthic biome,mgp19524,free-living,oil_affected_sediment,marine,sediment,engel,illumina
mgm4714039,saline marsh,silty sediment,sediment,NA,ECM15MPS05_R2B,CWC Coastal Marshes,metagenome,WGS,north america,USA,29.4508333333333,-89.75005,marine benthic biome,mgp19524,free-living,oil_affected_sediment,marine,sediment,engel,illumina
